time_start,exchange,market,open,high,low,close,volume
03/04/2016 10:44,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:45,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:46,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:47,BITF,BTC/USD,418.79,418.79,418.72,418.72,0.04
03/04/2016 10:48,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.01
03/04/2016 10:49,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.29977763
03/04/2016 10:50,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.02
03/04/2016 10:51,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.15989181
03/04/2016 10:52,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:53,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:54,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:55,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:56,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:57,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.0725
03/04/2016 10:58,BITF,BTC/USD,418.8,419,418.8,418.87,4.31841183
03/04/2016 10:59,BITF,BTC/USD,419,419,419,419,4.37489663
03/04/2016 11:00,BITF,BTC/USD,419,419,419,419,0
03/04/2016 11:01,BITF,BTC/USD,419,419,419,419,3.61510337
03/04/2016 11:02,BITF,BTC/USD,419.25,419.25,419.17,419.18,0.66891532
03/04/2016 11:03,BITF,BTC/USD,419.25,419.25,419.25,419.25,2.48016817
03/04/2016 11:04,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:05,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:06,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:07,BITF,BTC/USD,419.2,419.2,419.2,419.2,1.2350009
03/04/2016 11:08,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.5
03/04/2016 11:09,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:10,BITF,BTC/USD,419.25,419.25,419.18,419.18,0.95384184
03/04/2016 11:11,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.07608584
03/04/2016 11:12,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.19767284
03/04/2016 11:13,BITF,BTC/USD,419.24,419.25,419.24,419.25,1.38509364
03/04/2016 11:14,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.17195259
03/04/2016 11:15,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:16,BITF,BTC/USD,419.25,419.25,419.25,419.25,0.9572355
03/04/2016 11:17,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:18,BITF,BTC/USD,419.25,419.25,419.25,419.25,0
03/04/2016 11:19,BITF,BTC/USD,419.25,419.25,419.25,419.25,1.02
03/04/2016 11:20,BITF,BTC/USD,419.25,419.25,419.25,419.25,2
03/04/2016 11:21,BITF,BTC/USD,419.25,419.5,419.25,419.49,17.12364729
03/04/2016 11:22,BITF,BTC/USD,419.49,419.49,419.49,419.49,0
03/04/2016 11:23,BITF,BTC/USD,419.52,419.52,419.52,419.52,0.75
03/04/2016 11:24,BITF,BTC/USD,419.52,419.52,419.52,419.52,0
03/04/2016 11:25,BITF,BTC/USD,419.52,419.52,419.52,419.52,0
03/04/2016 11:26,BITF,BTC/USD,419.52,419.52,419.52,419.52,0
03/04/2016 11:27,BITF,BTC/USD,419.52,419.52,419.52,419.52,0
03/04/2016 11:28,BITF,BTC/USD,419.52,419.52,419.52,419.52,1.07828966
03/04/2016 11:29,BITF,BTC/USD,419.66,419.66,419.66,419.66,0.01
03/04/2016 11:30,BITF,BTC/USD,419.74,419.74,419.74,419.74,14.60912881
03/04/2016 11:31,BITF,BTC/USD,419.74,419.74,419.74,419.74,0
03/04/2016 11:32,BITF,BTC/USD,419.74,419.74,419.74,419.74,0
03/04/2016 11:33,BITF,BTC/USD,419.75,419.75,419.75,419.75,0.40222298
03/04/2016 11:34,BITF,BTC/USD,419.75,419.75,419.75,419.75,0
03/04/2016 11:35,BITF,BTC/USD,419.69,419.69,419.68,419.68,2.53637634
03/04/2016 11:36,BITF,BTC/USD,419.68,419.68,419.68,419.68,0
03/04/2016 11:37,BITF,BTC/USD,419.75,419.75,419.69,419.69,0.40899001
03/04/2016 11:38,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:39,BITF,BTC/USD,419.75,419.75,419.75,419.75,0.35392963
03/04/2016 11:40,BITF,BTC/USD,419.75,419.75,419.75,419.75,0.11027607
